Player,Position,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Pick,Value,Normalized Value
Oday Aboushi,Guard,77.0,308.0,5.41,23.5,17.0,100.0,7.92,4.84,141.0,1600000.0,-0.39728155996039616
Robert Alford,Cornerback,70.0,188.0,4.39,40.0,17.0,132.0,6.89,4.23,60.0,22500000.0,1.4275515899762026
Keenan Allen,Wide Receiver,74.0,206.0,4.58,,,,,,76.0,45000000.0,3.064606925986079
Zach Allen,Defensive End,74.0,332.0,5.43,,32.0,,,,,4293762.0,-0.21511415068849568
Zach Allen,Defensive End,76.0,281.0,5.0,32.0,24.0,112.0,7.34,4.36,65.0,4293762.0,-0.21511415068849568
Kiko Alonso,Outside Linebacker,75.0,238.0,4.74,,,,,,46.0,4300401.0,-0.3709991352839583
David Amerson,Cornerback,73.0,205.0,4.44,35.5,15.0,127.0,,,51.0,3850902.0,-0.1861920594004481
Marc Anthony,Cornerback,71.0,196.0,4.63,35.0,12.0,118.0,6.74,4.07,247.0,930000.0,-0.43412945388848506
Terron Armstead,Tackle,77.0,306.0,4.71,34.5,31.0,112.0,7.62,4.72,75.0,65000000.0,4.67337866226559
Tavon Austin,Wide Receiver,68.0,174.0,4.34,32.0,14.0,120.0,,4.01,8.0,12751002.0,0.4599964785992262
Jeff Baca,Guard,75.0,302.0,5.03,26.5,,100.0,7.26,4.44,196.0,930000.0,-0.4486742983145955
David Bakhtiari,Tackle,76.0,299.0,5.18,25.5,28.0,101.0,7.7,4.74,109.0,48000000.0,3.3015175852344294
Johnthan Banks,Cornerback,74.0,185.0,4.61,34.0,10.0,125.0,6.97,4.27,43.0,885000.0,-0.42889849631691773
Matt Barkley,Quarterback,74.0,227.0,4.91,,,,,,98.0,4000000.0,-0.32545698234751624
Kenjon Barner,Running Back,69.0,196.0,4.52,35.5,20.0,122.0,6.87,4.2,182.0,1110000.0,-0.4267155022606741
Sam Barrington,Inside Linebacker,73.0,246.0,4.91,32.5,22.0,117.0,,,232.0,690000.0,-0.4929177152458226
David Bass,Defensive End,76.0,262.0,4.84,30.5,20.0,111.0,7.07,4.33,233.0,1080000.0,-0.45989624242744437
Steve Beauharnais,Inside Linebacker,73.0,240.0,4.84,33.0,19.0,118.0,6.99,4.2,235.0,1080000.0,-0.49917673021163833
Le'Veon Bell,Running Back,73.0,230.0,4.6,31.5,24.0,118.0,6.75,4.24,48.0,14544000.0,1.008319652953397
Giovani Bernard,Running Back,68.0,202.0,4.53,33.5,19.0,122.0,6.91,4.12,37.0,9700000.0,0.4861343577067268
Tommy Bohanon,Fullback,73.0,246.0,4.88,35.0,36.0,119.0,7.27,4.42,215.0,1480000.0,-0.32375199221677076
Travis Bond,Guard,78.0,329.0,5.27,22.5,22.0,98.0,7.85,4.96,214.0,2160000.0,-0.3333626821631961
Jon Bostic,Inside Linebacker,73.0,245.0,4.59,32.5,22.0,118.0,6.99,4.24,50.0,4000000.0,-0.17588983163589988
Josh Boyce,Wide Receiver,71.0,206.0,4.38,34.0,22.0,131.0,6.68,4.1,102.0,1170000.0,-0.43225665297758875
Josh Boyd,Defensive Tackle,75.0,310.0,5.14,26.5,32.0,104.0,7.16,4.64,167.0,1320000.0,-0.4069001506433019
John Boyett,Safety,70.0,204.0,4.64,,27.0,,,,192.0,420000.0,-0.550790273588601
Arthur Brown,Inside Linebacker,72.0,241.0,4.62,,,116.0,,,56.0,775000.0,-0.48498707802187335
Armonty Bryant,Defensive End,76.0,263.0,4.86,31.5,,118.0,7.32,5.0,217.0,855000.0,-0.47326869503453245
Michael Buchanan,Defensive End,77.0,255.0,4.78,33.0,22.0,113.0,6.91,4.44,226.0,1285000.0,-0.44511787473180253
Rex Burkhead,Running Back,70.0,214.0,4.73,39.0,21.0,125.0,6.85,4.09,190.0,3150000.0,-0.21732185172874963
Jamie Collins,Outside Linebacker,75.0,250.0,4.64,41.5,19.0,139.0,7.1,4.32,52.0,30000000.0,1.5795070461278409
Jonathan Cooper,Guard,74.0,311.0,5.07,27.0,35.0,108.0,7.78,4.84,7.0,4950000.0,-0.06557673548255115
Justice Cunningham,Tight End,75.0,258.0,4.94,31.5,,116.0,7.12,4.45,254.0,1485000.0,-0.4087886501994558
Knile Davis,Running Back,71.0,227.0,4.37,33.5,31.0,121.0,6.96,4.38,96.0,790000.0,-0.45697932646399325
Will Davis,Cornerback,71.0,186.0,4.51,35.5,16.0,127.0,6.52,4.02,93.0,2701200.0,-0.28864434798878613
Everett Dawkins,Defensive Tackle,74.0,292.0,5.06,30.0,23.0,103.0,7.61,4.88,229.0,1485000.0,-0.4707021774145955
Quinton Dial,Defensive Tackle,77.0,318.0,5.29,,,,,,157.0,2341652.0,-0.3941748166741747
Aaron Dobson,Wide Receiver,75.0,210.0,4.37,,,,,,59.0,675000.0,-0.4773603240142303
Zac Dysert,Quarterback,75.0,231.0,4.81,,,,,,234.0,1140000.0,-0.437694257946388
Lavar Edwards,Defensive End,76.0,277.0,4.8,33.0,,119.0,7.03,4.51,142.0,1260000.0,-0.4470413618607534
Mike Edwards,Safety,69.0,189.0,4.56,36.0,14.0,124.0,6.94,4.18,99.0,3000000.0,-0.26338965567187594
Mike Edwards,Safety,70.0,205.0,,,,,,,99.0,3000000.0,-0.26338965567187594
Tyler Eifert,Tight End,77.0,250.0,4.68,35.5,22.0,119.0,6.92,4.32,21.0,8256001.0,0.42093379858689406
Andre Ellington,Running Back,69.0,199.0,4.61,34.0,,122.0,,,187.0,905000.0,-0.4480833261261135
Zach Ertz,Tight End,77.0,249.0,4.76,30.5,24.0,111.0,7.08,4.47,35.0,31650000.0,2.943915634382825
Gavin Escobar,Tight End,78.0,254.0,4.84,32.0,,114.0,7.07,4.31,47.0,855000.0,-0.4724930952520355
Josh Evans,Safety,73.0,207.0,4.58,34.5,,123.0,6.64,4.1,169.0,1475000.0,-0.4124493753722466
Eric Fisher,Tackle,79.0,306.0,5.05,28.5,27.0,116.0,7.59,4.44,1.0,22190498.0,1.1592647561380875
D.J. Fluker,Guard,77.0,339.0,5.31,,21.0,,,,11.0,6000000.0,0.028585851604037933
Reid Fragel,Tackle,80.0,308.0,5.14,30.0,33.0,113.0,7.62,4.68,240.0,1485000.0,-0.4601682889102638
Travis Frederick,Center,76.0,312.0,5.58,28.5,21.0,97.0,7.81,4.76,31.0,6870028.0,0.12188408100107685
Corey Fuller,Wide Receiver,74.0,204.0,4.43,31.5,12.0,120.0,,,171.0,1290000.0,-0.4282162775675255
William Gholston,Defensive End,78.0,281.0,4.96,28.5,23.0,110.0,7.2,4.59,126.0,4500000.0,-0.2145716638215471
Mike Gillislee,Running Back,71.0,208.0,4.55,30.5,15.0,119.0,7.12,4.4,164.0,2322800.0,-0.34370750339484213
Mike Glennon,Quarterback,79.0,225.0,4.94,26.5,,102.0,7.49,4.52,73.0,8000000.0,-0.14927815129200633
Zaviar Gooden,Inside Linebacker,73.0,234.0,4.47,34.0,27.0,131.0,6.71,4.18,97.0,1290000.0,-0.44209132612386803
Malliciah Goodman,Defensive End,76.0,276.0,4.87,31.5,26.0,114.0,,,127.0,615000.0,-0.4907531980718399
Marquise Goodwin,Wide Receiver,69.0,183.0,4.27,,13.0,132.0,,,78.0,6000000.0,-0.03669458393146023
Chris Gragg,Tight End,75.0,244.0,4.5,37.5,18.0,125.0,7.08,4.51,222.0,690000.0,-0.4923111377440543
Dwayne Gratz,Cornerback,71.0,201.0,4.47,38.0,22.0,125.0,6.7,4.15,64.0,2900000.0,-0.2457481655208819
Khaseem Greene,Outside Linebacker,73.0,241.0,4.71,30.0,17.0,116.0,7.58,4.2,117.0,1290000.0,-0.50406230491338
Cobi Hamilton,Wide Receiver,74.0,212.0,4.56,29.5,11.0,107.0,,4.31,197.0,1170000.0,-0.43225665297758875
Johnathan Hankins,Defensive Tackle,75.0,320.0,5.31,26.0,,104.0,7.59,4.61,49.0,8500000.0,0.11675187042549985
Tanner Hawkinson,Guard,77.0,298.0,5.07,28.5,,112.0,7.52,4.51,156.0,1260000.0,-0.4133135170526303
D.J. Hayden,Cornerback,71.0,191.0,4.4,,,,,,12.0,10323698.0,0.39061198526977087
Brandon Hepburn,Outside Linebacker,74.0,240.0,4.68,32.0,21.0,124.0,7.4,4.55,245.0,1575000.0,-0.48415113285750494
Eric Herman,Tackle,76.0,320.0,5.25,28.0,36.0,95.0,7.99,5.09,225.0,900000.0,-0.5059227224116114
Jordan Hill,Defensive Tackle,73.0,303.0,5.23,22.5,28.0,103.0,7.49,4.51,87.0,855000.0,-0.44207595471368033
Gerald Hodges,Inside Linebacker,73.0,243.0,4.78,,22.0,119.0,,,120.0,855000.0,-0.47752294886992114
Khaled Holmes,Center,75.0,302.0,5.29,,13.0,,,,121.0,690000.0,-0.5117415576355907
DeAndre Hopkins,Wide Receiver,73.0,214.0,4.57,36.0,15.0,115.0,,4.5,27.0,54500000.0,3.628279743671751
Dustin Hopkins,Kicker,74.0,193.0,4.74,33.5,,116.0,,,177.0,7450000.0,0.8732338220158954
Montori Hughes,Defensive Tackle,76.0,329.0,5.23,26.5,22.0,104.0,7.85,4.7,139.0,1260000.0,-0.46985095013642963
Margus Hunt,Defensive End,80.0,277.0,4.62,34.5,38.0,121.0,7.07,4.51,53.0,4100000.0,-0.23686364355093767
Justin Hunter,Wide Receiver,76.0,196.0,4.44,39.5,,136.0,,4.33,34.0,870000.0,-0.45856558508484124
Micah Hyde,Safety,72.0,197.0,4.56,33.0,12.0,121.0,6.78,4.2,159.0,19250000.0,1.346248720515124
Mike James,Running Back,70.0,223.0,4.53,35.0,28.0,115.0,,4.62,189.0,1260000.0,-0.4119259430156788
Jawan Jamison,Running Back,67.0,203.0,4.68,29.0,20.0,110.0,,,228.0,1485000.0,-0.4178003255834345
D.C. Jefferson,Tight End,78.0,255.0,4.97,,3.0,,,,219.0,496000.0,-0.5185068635709894
Jelani Jenkins,Outside Linebacker,72.0,243.0,4.65,,27.0,,,,104.0,1000000.0,-0.5036843793074585
John Jenkins,Defensive Tackle,76.0,346.0,5.21,,30.0,,,,82.0,1317500.0,-0.4074798221892607
Luke Joeckel,Guard,78.0,306.0,5.3,28.5,27.0,106.0,7.4,4.68,2.0,8000000.0,0.2597493654001272
Josh Johnson,Quarterback,69.0,199.0,4.65,35.0,16.0,114.0,6.99,4.25,,1950000.0,-0.4120231411877074
Josh Johnson,Quarterback,68.0,209.0,4.61,35.5,22.0,115.0,7.16,4.4,,1950000.0,-0.4120231411877074
Josh Johnson,Quarterback,71.0,183.0,,,14.0,,,,,1950000.0,-0.4120231411877074
Lane Johnson,Tackle,78.0,303.0,4.72,34.0,28.0,118.0,7.31,4.52,4.0,72000000.0,4.701293083882424
Nico Johnson,Inside Linebacker,74.0,248.0,4.73,,,,,,99.0,1110000.0,-0.4964452534801158
T.J. Johnson,Center,76.0,310.0,5.33,25.5,32.0,96.0,7.83,4.74,251.0,2205896.0,-0.3711581954830002
Barrett Jones,Guard,76.0,306.0,5.43,,,,,,113.0,1260000.0,-0.4133135170526303
Chris Jones,Defensive Tackle,74.0,302.0,5.33,,30.0,,7.34,4.44,198.0,825000.0,-0.4443453614278983
Chris Jones,Defensive Tackle,78.0,310.0,5.03,24.5,26.0,106.0,7.44,4.62,37.0,825000.0,-0.4443453614278983
Chris Jones,Defensive Tackle,72.0,195.0,4.57,,14.0,,,,,825000.0,-0.4443453614278983
Datone Jones,Defensive Tackle,76.0,283.0,4.8,31.5,29.0,112.0,7.32,4.32,26.0,3750000.0,-0.22307820679164692
Jarvis Jones,Outside Linebacker,74.0,245.0,4.74,,,,,,17.0,2250000.0,-0.4057984117868923
Landry Jones,Quarterback,76.0,225.0,5.11,31.0,,115.0,7.12,4.3,115.0,2599220.0,-0.41117086034770495
Dion Jordan,Defensive End,78.0,248.0,4.54,32.5,,122.0,7.02,4.35,3.0,1907000.0,-0.4001071181068703
Nick Kasa,Tight End,78.0,269.0,4.71,31.5,22.0,113.0,,,172.0,525000.0,-0.5134214688211121
Travis Kelce,Tight End,77.0,255.0,4.63,,,,,,63.0,46842000.0,5.396816807394744
Tavarres King,Wide Receiver,72.0,189.0,4.47,36.5,11.0,123.0,6.91,4.33,161.0,1290000.0,-0.4282162775675255
A.J. Klein,Outside Linebacker,73.0,250.0,4.66,,20.0,113.0,,,148.0,18000000.0,0.7388831544747947
Joe Kruger,Defensive End,78.0,269.0,4.83,34.0,24.0,117.0,7.17,4.46,212.0,435000.0,-0.510516437116132
Eddie Lacy,Running Back,71.0,231.0,4.55,,,,,,61.0,3392412.0,-0.24911383936191694
Corey Lemonier,Outside Linebacker,75.0,255.0,4.6,33.0,27.0,119.0,7.14,4.4,88.0,885000.0,-0.5126898883193505
Kapron Lewis-Moore,Defensive End,76.0,298.0,4.95,,,,,,200.0,1230000.0,-0.4402501620804396
Jeff Locke,Punter,73.0,209.0,4.82,,,,,,155.0,2344192.0,-0.3733062632788127
Bennie Logan,Defensive Tackle,74.0,309.0,5.08,25.0,30.0,104.0,7.53,4.67,67.0,4000000.0,-0.21006445251803998
Kyle Long,Guard,78.0,313.0,4.91,28.0,,107.0,7.83,4.63,20.0,12200000.0,0.6097917020194252
Star Lotulelei,Defensive Tackle,74.0,311.0,5.14,,,,,,14.0,18600000.0,0.863948285641291
E.J. Manuel,Quarterback,77.0,237.0,4.65,34.0,,118.0,7.08,4.21,16.0,1000000.0,-0.4426471130121149
Stansly Maponga,Defensive End,74.0,256.0,4.78,,30.0,,,,153.0,1480000.0,-0.42773613504154423
Tyrann Mathieu,Safety,69.0,186.0,4.5,34.0,4.0,117.0,6.87,4.14,69.0,42000000.0,4.055642422974439
Michael Mauti,Outside Linebacker,74.0,243.0,4.83,,28.0,,,,213.0,855000.0,-0.5150391515398441
Demetrius McCray,Cornerback,73.0,187.0,4.54,36.0,4.0,126.0,7.17,4.32,210.0,690000.0,-0.44588968624468206
T.J. McDonald,Safety,74.0,219.0,4.59,40.0,19.0,131.0,6.89,4.2,71.0,2926278.0,-0.2643797911920355
Vance McDonald,Tight End,76.0,267.0,4.69,33.5,31.0,119.0,7.08,4.53,55.0,3599178.0,-0.1497160334135142
Leon McFadden,Cornerback,70.0,193.0,4.54,34.5,10.0,119.0,6.81,4.27,68.0,1450000.0,-0.3754630196424399
Brandon McGee,Cornerback,71.0,193.0,4.4,33.5,14.0,119.0,6.71,4.18,149.0,600000.0,-0.451502761713698
Stacy McGee,Defensive Tackle,75.0,308.0,4.98,,,,,,205.0,2238680.0,-0.40337362247882186
Christine Michael,Running Back,70.0,220.0,4.54,43.0,27.0,125.0,6.69,4.02,62.0,800000.0,-0.4588761790489301
Jordan Mills,Tackle,77.0,316.0,5.37,28.5,20.0,101.0,8.1,4.88,163.0,3000000.0,-0.3331623077276179
Barkevious Mingo,Outside Linebacker,76.0,241.0,4.58,37.0,,128.0,6.84,4.39,6.0,6800000.0,-0.036778881661774274
Kevin Minter,Inside Linebacker,72.0,246.0,4.81,33.0,25.0,119.0,,,45.0,4250000.0,-0.16076396798394882
Sam Montgomery,Defensive End,75.0,262.0,4.81,34.5,,114.0,7.18,4.51,95.0,1100000.0,-0.45935167948603894
Nick Moody,Inside Linebacker,73.0,236.0,4.71,,17.0,118.0,,,180.0,675000.0,-0.49802647882095685
Damontre Moore,Defensive End,76.0,250.0,4.95,35.5,12.0,122.0,,,81.0,1650000.0,-0.41535127872345146
