Position,Measurement,Sample Size,Correlation
Guard,Ht,105,-0.01588293061237133
Guard,Wt,105,0.061811831224882575
Guard,40yd,105,-0.24491591611618913
Guard,Vertical,105,0.1499741358371493
Guard,Bench,105,0.08810228695411472
Guard,Broad Jump,105,0.2562197762906667
Guard,3Cone,105,-0.16941175361095331
Guard,Shuttle,105,-0.32265420552713525
Guard,Pick,105,-0.4887658961879863
Cornerback,Ht,175,0.050701364338880416
Cornerback,Wt,175,0.13345608788639748
Cornerback,40yd,175,0.022582129834055466
Cornerback,Vertical,175,-0.0008429303626762989
Cornerback,Bench,175,-0.01698585985656051
Cornerback,Broad Jump,175,0.041410668177242906
Cornerback,3Cone,175,0.077801806981304
Cornerback,Shuttle,175,-0.008641674893264211
Cornerback,Pick,175,-0.3273029220302456
Wide Receiver,Ht,205,0.0076550981601294435
Wide Receiver,Wt,205,0.014547035007102237
Wide Receiver,40yd,205,0.01954601714912052
Wide Receiver,Vertical,205,0.005698769422451427
Wide Receiver,Bench,205,-0.021351429627313474
Wide Receiver,Broad Jump,205,-0.11327070579233686
Wide Receiver,3Cone,205,-0.04631439150174278
Wide Receiver,Shuttle,205,-0.05084035899437758
Wide Receiver,Pick,205,-0.31624074259757107
Defensive End,Ht,146,0.046981779365294976
Defensive End,Wt,146,0.06777342613099807
Defensive End,40yd,146,-0.06892431476290671
Defensive End,Vertical,146,0.16634710080627066
Defensive End,Bench,146,0.07110674431052849
Defensive End,Broad Jump,146,0.050005030469405264
Defensive End,3Cone,146,-0.03785632651607931
Defensive End,Shuttle,146,-0.1870524894836849
Defensive End,Pick,146,-0.47102746095942244
Outside Linebacker,Ht,90,0.17270073595762458
Outside Linebacker,Wt,90,0.3734841431481047
Outside Linebacker,40yd,90,0.028086949075350368
Outside Linebacker,Vertical,90,0.04671255651952132
Outside Linebacker,Bench,90,0.07358967615130409
Outside Linebacker,Broad Jump,90,0.08057280456758373
Outside Linebacker,3Cone,90,0.10601695177218401
Outside Linebacker,Shuttle,90,0.040663293165010245
Outside Linebacker,Pick,90,-0.3632873730526057
Tackle,Ht,107,-0.009636806727061067
Tackle,Wt,107,-0.10114075725335767
Tackle,40yd,107,-0.33956122738718275
Tackle,Vertical,107,0.3028618547160291
Tackle,Bench,107,0.1535298078655706
Tackle,Broad Jump,107,0.19897679529351875
Tackle,3Cone,107,-0.28346515596003746
Tackle,Shuttle,107,-0.29939581027180756
Tackle,Pick,107,-0.38617743592930887
Quarterback,Ht,89,-0.039756883044021946
Quarterback,Wt,89,-0.036546051274950704
Quarterback,40yd,89,-0.18453578270500776
Quarterback,Vertical,89,0.17101903413403172
Quarterback,Bench,89,-0.09811888541203231
Quarterback,Broad Jump,89,0.15530253492548413
Quarterback,3Cone,89,-0.22527818033466035
Quarterback,Shuttle,89,-0.11618650164744812
Quarterback,Pick,89,-0.3983055060857503
Running Back,Ht,133,0.22970763949551598
Running Back,Wt,133,0.21759142918943333
Running Back,40yd,133,-0.1126491854377875
Running Back,Vertical,133,-0.09057288783764732
Running Back,Bench,133,0.04288168261006959
Running Back,Broad Jump,133,0.0341951119260682
Running Back,3Cone,133,-0.0751249007309424
Running Back,Shuttle,133,0.03545564005321884
Running Back,Pick,133,-0.57718228867026
Inside Linebacker,Ht,71,0.10922386166024974
Inside Linebacker,Wt,71,0.008759971000476973
Inside Linebacker,40yd,71,-0.2719140980547933
Inside Linebacker,Vertical,71,0.126233146809127
Inside Linebacker,Bench,71,-0.20082360463722654
Inside Linebacker,Broad Jump,71,0.06304776169576788
Inside Linebacker,3Cone,71,-0.12816476048093506
Inside Linebacker,Shuttle,71,-0.0657040557995749
Inside Linebacker,Pick,71,-0.5533557770106362
Fullback,Ht,10,0.22342840952586362
Fullback,Wt,10,-0.2060121086019284
Fullback,40yd,10,-0.02804829409273243
Fullback,Vertical,10,0.20754538485597393
Fullback,Bench,10,0.3788083539604608
Fullback,Broad Jump,10,0.536927641020557
Fullback,3Cone,10,-0.3315265492353702
Fullback,Shuttle,10,-0.12748343218445835
Fullback,Pick,10,-0.040111981125378775
Defensive Tackle,Ht,127,-0.1573861980339939
Defensive Tackle,Wt,127,-0.0391181311139502
Defensive Tackle,40yd,127,-0.19535437232653663
Defensive Tackle,Vertical,127,0.21514628724542736
Defensive Tackle,Bench,127,0.16886196391933697
Defensive Tackle,Broad Jump,127,0.258402775179373
Defensive Tackle,3Cone,127,-0.26338964134874393
Defensive Tackle,Shuttle,127,-0.17482250212857106
Defensive Tackle,Pick,127,-0.36706175549794084
Safety,Ht,124,-0.08945571937413022
Safety,Wt,124,-0.1637577331214295
Safety,40yd,124,-0.026842015350587056
Safety,Vertical,124,-0.018628228671151496
Safety,Bench,124,-0.312653995318928
Safety,Broad Jump,124,-0.056917037047004494
Safety,3Cone,124,-0.16711011939214426
Safety,Shuttle,124,-0.17625894382537427
Safety,Pick,124,-0.3307461463954872
Tight End,Ht,92,0.12310020439212663
Tight End,Wt,92,-0.08820329971084696
Tight End,40yd,92,-0.21874350684053256
Tight End,Vertical,92,0.08228962879497864
Tight End,Bench,92,-0.06663824648668436
Tight End,Broad Jump,92,0.12117625247651723
Tight End,3Cone,92,-0.19983600002811638
Tight End,Shuttle,92,-0.15718253002255164
Tight End,Pick,92,-0.30407422103637016
Center,Ht,44,0.07156890783489996
Center,Wt,44,-0.04854580654079814
Center,40yd,44,-0.24796430997905977
Center,Vertical,44,0.1958920143513841
Center,Bench,44,0.39303698629719686
Center,Broad Jump,44,0.27090007781508907
Center,3Cone,44,-0.11307884500145374
Center,Shuttle,44,-0.27745765599791744
Center,Pick,44,-0.4133234835858497
Kicker,Ht,12,0.28375160522840664
Kicker,Wt,12,-0.14724213968606634
Kicker,40yd,12,-0.7381315596835766
Kicker,Pick,12,0.2650988565384007
Punter,Ht,12,0.658041954892707
Punter,Wt,12,0.4043437864222616
Punter,40yd,12,0.5343908998983555
Punter,Vertical,12,-0.3159210578261253
Punter,Bench,12,-0.9999999999999998
Punter,Broad Jump,12,-0.1728123621413298
Punter,Pick,12,-0.15885454804661636
Long Snapper,Ht,3,-0.9567802397975925
Long Snapper,Wt,3,-0.5721211038199412
Long Snapper,40yd,3,-0.9296378029602903
Long Snapper,Vertical,3,0.9838232046658066
Long Snapper,Broad Jump,3,-1.0000000000000002
Long Snapper,Pick,3,-0.9829424952726781
Linebacker,Ht,37,0.007229155566895562
Linebacker,Wt,37,0.07362711949337322
Linebacker,40yd,37,-0.049736895837552246
Linebacker,Vertical,37,-0.0981739570029171
Linebacker,Bench,37,-0.02178782213168269
Linebacker,Broad Jump,37,0.03320626584936196
Linebacker,3Cone,37,-0.03682475249659679
Linebacker,Shuttle,37,-0.20211173583257946
Linebacker,Pick,37,-0.4059279343461986
